Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aspergillus flavus EUCAST,0,0,0,0,5,25,108,90,29,3,2,0,0,1,0,0,0,0,0,1,263,-,,
Aspergillus fumigatus EUCAST,0,0,3,13,213,680,630,282,131,96,26,4,16,15,6,2,0,0,0,1,2117,-,,
Aspergillus nidulans EUCAST,0,0,0,4,12,26,24,21,10,1,1,1,1,2,1,0,0,0,0,1,104,-,,
Aspergillus niger EUCAST,0,0,0,1,3,11,78,92,29,7,0,0,0,1,0,0,0,0,0,1,222,-,,
Aspergillus sydowii EUCAST,0,0,0,0,4,5,8,18,13,1,0,0,0,0,0,0,0,0,0,1,49,-,,
Aspergillus terreus EUCAST,0,0,0,5,25,118,87,21,12,5,3,1,1,0,0,0,0,0,0,1,278,-,,
Aspergillus versicolor EUCAST,0,0,0,0,0,4,7,6,7,1,0,1,0,2,0,0,0,0,0,1,28,-,,
Candida albicans EUCAST,0,0,167,1520,763,347,70,32,18,4,0,2,7,7,0,0,0,0,0,1,2937,-,,
Candida dubliniensis EUCAST,0,0,0,9,27,16,5,0,0,1,0,0,0,1,0,0,0,0,0,1,59,-,,
Candida glabrata EUCAST,0,0,2,11,22,132,310,382,315,131,63,55,51,2,11,0,0,0,0,1,1487,-,,
Candida guilliermondii EUCAST,0,0,0,3,22,42,31,20,6,1,0,0,0,2,0,0,0,0,0,1,127,-,,
Candida krusei EUCAST,0,0,0,3,27,91,153,74,14,0,0,0,0,0,0,0,0,0,0,1,362,-,,
Candida parapsilosis EUCAST,0,0,20,489,280,121,7,2,1,0,0,1,0,0,0,0,0,0,0,1,921,-,,
Candida tropicalis EUCAST,0,0,7,225,197,46,11,6,1,1,7,8,3,5,0,0,0,0,0,1,517,-,,
Cryptococcus gattii EUC,0,0,0,1,1,3,8,24,15,0,0,0,0,0,0,0,0,0,0,1,52,-,,
Cryptococcus neoformans EUCAST,0,0,0,92,157,246,387,234,69,8,1,0,1,0,0,0,0,0,0,1,1195,-,,
