Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Bacteroides fragilis group,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,4,0,0,0,1,56,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,11,60,208,775,1706,1474,569,199,6,0,173,0,14,5181,-,,
Enterococcus faecium,0,0,0,0,0,0,4,144,812,500,1432,928,256,370,212,4,1,0,0,26,4663,-,,
Lactobacillus reuteri,0,0,0,0,0,0,0,32,12,2,0,0,1,2,0,0,0,0,0,1,49,-,,
Peptostreptococcus spp,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,1,9,-,,
Staphylococcus aureus,0,0,0,0,5,15,985,8346,4444,669,40,18,16,12,0,0,0,0,0,9,14550,1,,
Staphylococcus capitis,0,0,0,0,0,11,27,142,73,12,2,0,0,1,0,0,0,0,0,2,268,-,,
Staphylococcus coagulase negative,0,0,0,0,0,1,86,477,160,42,9,1,0,0,0,0,0,0,0,4,776,-,,
Staphylococcus epidermidis,0,0,0,0,0,2,432,1935,236,84,36,2,0,1,1,0,0,0,0,2,2729,-,,
Staphylococcus haemolyticus,0,0,0,0,0,1,34,391,191,37,1,1,1,0,0,0,0,0,0,3,657,-,,
Staphylococcus hominis,0,0,0,0,0,1,42,294,131,20,0,2,0,0,0,0,0,0,0,2,490,-,,
Staphylococcus lugdunensis,0,0,0,0,0,0,7,14,1,0,0,0,0,0,0,0,0,0,0,2,22,-,,
Staphylococcus saprophyticus,0,0,0,0,0,2,48,383,21,13,0,0,0,0,0,0,0,0,0,3,467,-,,
Staphylococcus simulans,0,0,0,0,0,1,6,81,2,0,0,0,0,0,0,0,0,0,0,1,90,-,,
Staphylococcus warneri,0,0,0,0,0,0,7,40,79,3,1,0,0,0,0,0,0,0,0,2,130,-,,
Streptococcus agalactiae,0,0,0,0,0,0,7,31,145,16,0,5,9,5,0,0,0,0,0,3,218,-,,
Streptococcus bovis,0,0,0,0,0,0,0,2,1,3,5,2,3,2,0,0,0,0,0,1,18,-,,
Streptococcus mitis,0,0,0,0,0,0,0,3,4,11,5,4,1,0,0,0,0,0,0,1,28,-,,
Streptococcus oralis,0,0,0,0,0,0,0,0,6,17,5,2,0,1,0,0,0,0,0,1,31,-,,
Streptococcus pneumoniae,0,0,0,0,2,5,121,1986,15027,7069,341,24,10,5,0,0,0,0,0,5,24590,-,,
Streptococcus pyogenes,0,0,0,0,50,916,6004,480,103,9,1,0,0,0,0,0,0,0,0,4,7563,-,,
"Streptococcus, viridans group",0,0,0,0,0,0,0,0,9,14,22,4,1,0,0,0,0,0,0,1,50,-,,
