Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,3,9,20,39,2,2,4,14,9,0,0,1,102,ID,,
Aerococcus sanguinicola,0,0,0,3,5,52,8,0,0,0,0,0,0,0,0,0,0,0,0,2,68,ID,,
Clostridioides difficile,3723,1829,46,11,6,3,5,4,18,12,10,4,1,0,356,50,10,0,0,9,6088,0.004,0.002 - 0.004,
Enterococcus faecalis,0,0,0,0,0,29,5,63,561,1119,778,577,219,103,0,0,0,1,0,5,3455,8,2.000 - 16.000,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,1,34,ID,,
Enterococcus faecium,0,0,0,2,0,0,0,0,0,1,5,62,6,0,0,0,0,3,0,2,79,ID,,
Haemophilus influenzae,0,0,0,0,1,28,218,477,90,3,0,0,0,0,0,0,0,0,0,3,817,-1,0.125 - 1.000,
Helicobacter pylori,0,0,0,1,6,7,14,30,21,17,14,1,1,0,0,0,0,0,0,2,112,ID,,
Kingella kingae,0,0,0,1,1,43,103,49,5,0,0,0,0,0,0,0,0,0,0,1,202,ID,,
Kocuria kristinae,0,0,0,0,0,0,0,51,109,1,2,1,6,0,0,0,0,0,0,2,170,-,,
Legionella pneumophila,0,5,7,132,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,ID,,
Mycobacterium avium,0,0,0,0,0,0,2,8,18,73,133,198,156,212,0,0,0,0,0,2,800,ID,,
Mycobacterium intracellulare,0,0,0,0,0,0,2,7,9,25,47,77,48,42,0,0,0,0,0,2,257,ID,,
Neisseria meningitidis,37,233,494,518,271,158,82,76,30,4,0,0,3,0,32,0,0,28,0,12,1966,0.125,0.031 - 0.125,
Rothia aeria,0,0,0,0,0,0,0,0,38,1,0,0,1,0,0,0,0,0,0,1,40,-,,
Rothia dentocariosa,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,78,-,,
Rothia mucilaginosa,0,0,0,0,0,0,0,290,540,3,2,1,7,0,0,0,0,0,0,2,843,-,,
Rothia spp,0,0,0,0,0,0,0,311,624,4,2,1,8,0,0,0,0,0,0,1,950,-,,
Staphylococcus aureus,1,197,710,307,16,3,3,2,4,9,13,28,0,0,1,3,8,17,2,5,1324,0.03,0.008 - 0.016,
Staphylococcus aureus MRSA,0,93,200,101,3,0,0,0,0,0,0,5,0,0,0,0,0,0,2,4,404,-0.03,0.008 - 0.016,
Staphylococcus aureus MSSA,0,84,131,175,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,416,-0.03,0.008 - 0.016,
Staphylococcus capitis,0,0,6,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,-,,
Staphylococcus epidermidis,0,0,9,105,65,41,1,0,0,1,0,4,0,0,0,0,5,0,24,2,255,-,0.016 - 0.063,
Staphylococcus epidermidis MSSE,0,11,24,36,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,84,-,0.016 - 0.063,
Staphylococcus haemolyticus,0,1,11,14,23,6,8,0,0,0,0,1,0,0,0,0,0,0,2,3,66,-0.06,0.004 - 0.250,
Streptococcus agalactiae,0,0,0,0,6,24,1,0,1,0,0,0,0,0,0,0,0,0,0,1,32,ID,,
Streptococcus anginosus,0,1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,ID,,
Streptococcus pneumoniae,0,0,18,199,643,214,26,2,3,3,2,0,3,0,0,0,0,0,0,4,1113,-0.125,0.004 - 0.250,
Streptococcus pneumoniae ATCC 49619,0,0,0,3,81,29,1,0,0,0,0,0,0,0,0,0,0,0,0,2,114,ID,,
Streptococcus pyogenes,0,0,3,7,15,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33,ID,,
"Streptococcus, viridans group",0,0,2,11,10,8,2,0,0,0,0,1,0,0,1,0,0,0,0,1,35,-,,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,2,27,71,43,8,0,0,0,0,0,1,151,ID,,
