Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Bacteroides fragilis group,0,0,0,0,0,0,0,1,0,11,25,12,3,0,0,0,0,0,0,1,52,ID,,
Enterococcus faecium,0,0,0,0,0,1,0,0,0,1,0,27,41,2,0,2,1,72,0,2,147,ID,,
Haemophilus influenzae,0,0,0,0,0,0,0,0,0,1,3,34,72,92,19,3,0,0,0,3,224,-32,1 - 256,
Moraxella catarrhalis,0,0,0,0,16,25,5,1,0,0,0,1,0,0,0,0,0,0,0,1,48,ID,,
Neisseria gonorrhoeae,0,0,0,0,2,2,9,20,8,2,0,0,0,0,0,0,0,0,0,1,43,ID,,
Staphylococcus aureus,0,0,0,0,0,0,55,269,2288,471,12,15,23,29,839,0,0,0,0,2,4001,((1)),0.25 - 2,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,42,0,1,50,((1)),0.25 - 2,
Staphylococcus aureus MSSA,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,0,1,10,0,1,50,((1)),0.25 - 2,
Staphylococcus capitis,0,0,0,0,0,0,10,60,44,2,0,0,2,2,29,0,0,0,0,1,149,ID,,
Staphylococcus epidermidis,0,0,0,0,0,1,37,233,184,11,0,3,4,18,935,3,2,9,0,2,1440,ID,,
Streptococcus milleri,0,0,0,0,11,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Streptococcus pneumoniae,0,0,1,0,7,26,29,0,0,0,3,7,13,7,49,4,0,4,0,2,150,ID,,
Streptococcus pyogenes,0,0,0,0,6,23,9,0,0,1,1,2,1,0,10,0,0,0,0,2,53,ID,,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,0,0,0,1,9,26,80,35,0,0,1,151,ID,,
