Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,11,80,64,26,1,0,1,8,36,14,4,5,0,0,0,0,0,5,250,0.06,0.016 - 0.125,
Enterococcus faecalis,0,0,0,1,2,42,111,31,5,22,33,6,0,0,0,0,0,0,0,5,253,0.5,0.125 - 0.5,
Enterococcus faecium,1,1,2,9,27,52,20,13,14,14,27,16,4,5,0,0,0,0,0,5,205,0.25,0.125 - 0.5,
Escherichia coli,2,10,57,26,25,23,12,15,6,26,22,12,2,2,0,0,0,0,0,5,240,0.03,0.004 - 0.06,
Klebsiella pneumoniae,0,1,5,78,71,12,9,17,5,3,14,13,5,9,7,1,0,0,0,5,250,0.06,0.016 - 0.125,
Proteus mirabilis,0,0,0,12,56,16,7,18,16,22,8,7,3,0,3,0,0,0,0,4,168,-0.125,0.016 - 0.25,
Pseudomonas aeruginosa,0,0,1,0,7,39,162,64,26,20,14,12,5,2,0,1,0,0,0,5,353,0.5,0.125 - 1,
Staphylococcus aureus,0,0,2,34,95,50,9,1,9,25,15,4,3,2,1,0,0,0,0,5,250,0.125,0.03 - 0.125,
Streptococcus pneumoniae,0,1,1,9,136,97,7,4,1,1,0,0,0,0,0,0,0,0,0,5,257,0.125,0.03 - 0.125,
