Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aeromonas hydrophila,0,0,0,4,14,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,-,,
Bacteroides fragilis,0,0,0,0,0,0,0,0,3,56,37,16,4,3,1,1,0,0,0,2,121,-,,
Clostridium perfringens,0,0,0,0,3,7,34,46,11,0,0,0,0,0,0,0,0,0,0,2,101,-,,
Enterococcus faecalis,0,0,0,0,1,3,9,180,209,42,4,5,1,31,29,3,5,0,0,2,522,-,,
Enterococcus faecium,0,0,0,0,0,0,0,4,7,11,5,2,0,0,0,0,0,0,0,1,29,-,,
Escherichia coli,0,0,69,227,203,36,12,16,8,5,1,1,4,5,9,2,0,0,0,2,598,-,,
Haemophilus influenzae,0,14,152,126,30,8,4,7,1,3,4,4,10,1,1,0,0,0,0,3,365,-0.064,,
Haemophilus parainfluenzae,0,0,23,10,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,45,-,,
Klebsiella pneumoniae,0,0,2,6,49,63,15,8,10,5,5,3,3,9,0,0,0,0,0,1,178,-,,
Legionella pneumophila,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,1,23,49,1,0,0,0,0,0,0,0,2,74,-,,
Moraxella catarrhalis,0,0,16,45,132,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,208,-,,
Morganella morganii,0,0,0,0,2,18,39,29,5,2,3,0,2,1,1,2,0,0,0,1,104,-,,
Neisseria gonorrhoeae,19,35,72,11,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2,146,-,,
Neisseria meningitidis,0,5,61,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,-,,
Plesiomonas shigelloides,0,2,1,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,-,,
Proteus mirabilis,0,0,0,0,0,5,43,243,203,18,8,10,2,9,6,6,0,0,0,2,553,-,,
Proteus vulgaris,0,0,0,0,1,4,22,24,28,6,1,0,0,0,0,0,0,0,0,1,86,-,,
Pseudomonas aeruginosa,0,0,0,0,0,1,9,46,119,183,84,40,34,31,21,26,10,3,0,2,607,-,,
Salmonella enterica,0,0,1,15,47,119,0,1,2,0,0,0,0,0,0,0,0,0,0,2,185,-,,
Salmonella Typhi,0,0,4,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,-,,
Shigella spp,0,1,35,48,15,5,2,0,0,0,0,0,0,1,0,0,0,0,0,2,107,-,,
Staphylococcus aureus,0,0,0,9,202,673,154,7,10,8,9,59,208,45,3,0,0,0,0,2,1387,-,,
Staphylococcus coagulase negative,0,0,1,5,24,497,608,88,10,5,24,144,161,57,0,0,0,0,0,2,1624,-,,
Streptococcus agalactiae,0,0,0,0,0,0,0,3,70,14,4,0,0,0,0,0,0,0,0,1,91,-,,
Streptococcus group C,0,0,0,0,0,0,0,29,30,3,0,0,0,0,0,0,0,0,0,1,62,-,,
Streptococcus group G,0,0,0,0,0,0,1,35,30,7,0,0,0,0,0,0,0,0,0,1,73,-,,
Streptococcus pneumoniae,0,0,0,0,0,8,215,390,130,13,0,4,15,3,0,0,0,0,0,3,778,-,,
Streptococcus pyogenes,0,0,0,0,1,2,17,95,126,59,5,0,0,0,0,0,0,0,0,2,305,-,,
"Streptococcus, viridans group",0,0,0,0,0,0,3,16,57,18,2,0,0,0,0,1,0,0,0,1,97,-,,
