Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Escherichia coli,0,0,0,0,0,0,0,0,0,0,0,7,132,2071,342,200,357,581,0,15,3690,64,,
Mannheimia haemolytica,0,0,0,0,0,0,0,0,0,0,0,0,17,89,94,0,1,1,0,4,202,-32,,
Neisseria gonorrhoeae,0,0,0,0,0,9,2,8,6,13,100,637,2108,1772,625,73,10,0,1,15,5364,64,,
Pasteurella multocida,0,0,0,0,0,0,0,0,0,0,0,8,28,88,29,0,1,6,0,4,160,-64,8 - 128,
Salmonella enterica,0,0,0,0,0,0,0,0,0,0,0,1,3,1442,7836,857,158,2158,1,11,12456,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,97,19,0,4,4,124,-128,,
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,1,1,5,2,1,0,0,0,0,0,0,1,10,-,,
Staphylococcus hominis,0,0,0,0,0,0,0,0,0,4,35,74,7,2,1,6,1,0,0,1,130,-,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,130,4,0,38,2,214,ID,,
Staphylococcus warneri,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,4,-,,
