Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,8,45,50,9,22,23,15,25,8,0,0,2,205,-,,
Citrobacter freundii,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,18,16,1,4,1,62,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,1,1,0,0,1,13,65,23,3,6,1,113,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,675,1,682,-,,
Escherichia coli,0,0,0,0,0,0,0,0,3,1,0,0,8,51,395,109,35,11,16,1,629,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,0,0,0,4,25,37,15,3,2,8,1,94,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,1,0,1,0,0,19,116,49,7,7,11,1,211,-,,
Proteus mirabilis,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,90,53,2,5,1,154,-,,
Proteus vulgaris,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,26,6,1,1,43,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,8,5,328,1,347,-,,
Serratia marcescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,26,3,6,1,70,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,5,1,0,0,1,1,6,35,630,55,72,1,806,-,,
Staphylococcus coagulase negative,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,32,54,14,235,1,341,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,11,45,1,67,-,,
