Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterobacter agglomerans,0,0,0,0,0,0,0,0,0,0,5,45,87,21,17,6,1,0,0,1,182,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,0,2,7,28,38,15,7,2,0,5,1,104,-,,
Enterobacter dissolvens,0,0,0,0,0,0,0,0,0,0,0,9,28,13,22,7,2,0,5,1,86,-,,
Escherichia coli,0,0,0,0,0,0,0,0,0,0,24,62,250,477,254,42,6,2,318,1,1435,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,0,1,1,4,25,21,13,5,2,3,1,75,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,0,2,6,19,47,36,31,10,0,16,1,167,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,0,0,0,1,35,41,25,4,0,0,1,106,-,,
Salmonella enterica,0,0,0,0,0,0,0,0,0,0,0,0,838,1310,733,1505,772,258,19,8,5435,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,0,0,39,40,34,8,2,0,0,3,123,-128,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,0,0,0,52,87,42,18,12,2,1,2,214,ID,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,1,10,46,19,0,0,0,0,0,0,0,1,76,-,,
