Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterococcus faecalis,0,0,0,4,0,3,33,431,433,26,1,0,1,0,0,0,0,0,0,7,932,1,0.25 - 1,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,0,0,2,43,ID,,
Enterococcus faecium,0,0,0,0,1,0,24,197,247,27,2,1,0,0,0,0,0,0,0,6,499,1,0.5 - 2,
Moraxella catarrhalis,0,0,0,0,0,0,0,0,4,7,13,12,0,0,0,0,0,0,0,1,36,ID,,
Staphylococcus aureus,0,0,0,4,2,11,545,4847,2549,17,4,5,2,1,0,0,0,0,0,11,7987,1,0.25 - 1,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,14,54,0,0,0,0,0,0,0,0,0,0,2,68,-,,
Staphylococcus aureus MRSA,0,0,0,2,0,7,264,2044,1000,20,3,5,1,1,0,0,0,0,0,10,3347,1,0.25 - 1,
Staphylococcus aureus MSSA,0,0,0,2,2,4,275,2740,1606,13,1,0,1,0,0,0,0,0,0,10,4644,1,0.25 - 1,
Staphylococcus haemolyticus,0,0,0,0,0,0,17,97,4,1,0,0,0,0,0,0,0,0,0,2,119,ID,,
Staphylococcus lugdunensis,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,0,0,0,1,15,ID,,
Streptococcus agalactiae,0,0,0,1,0,5,243,469,24,1,0,0,0,0,0,0,0,0,0,5,743,0.5,0.125 - 1,
Streptococcus anginosus,0,0,0,11,11,13,40,16,0,0,0,0,0,0,0,0,0,0,0,3,91,ID,0.03 - 1,
Streptococcus pneumoniae,0,0,0,0,0,4,36,66,4,0,0,0,0,0,0,0,0,0,0,3,110,-0.5,0.25 - 1,
Streptococcus pyogenes,0,0,0,2,1,23,384,361,31,0,0,0,0,0,0,0,0,0,0,7,802,0.5,0.125 - 0.5,
