Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Clostridioides difficile,0,0,0,1,29,204,147,18,2,0,0,0,0,0,0,0,0,0,0,1,401,ID,,
Enterococcus faecalis,0,0,0,0,11,138,840,1114,2007,1454,157,13,7,9,3,20,3,1,189,15,5966,2,0.25 - 2,
Enterococcus faecium,0,0,0,0,0,13,340,1737,2605,1225,141,15,23,82,34,153,8,2,193,28,6571,2,0.5 - 2,
Staphylococcus aureus,0,0,0,0,4,11,116,6686,27037,18135,3703,768,123,24,1,1,0,0,0,20,56609,2, 1-4,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,2,58,3,0,0,0,0,0,0,0,0,0,1,63,ID,,
Staphylococcus aureus MRSA,0,0,0,0,1,0,3,31,224,239,61,6,0,1,0,0,0,0,0,5,566,2, 1-4,
Staphylococcus aureus MSSA,0,0,0,0,0,0,0,5,145,321,94,5,1,0,0,0,0,0,0,4,571,-2, 1-4,
Staphylococcus capitis,0,0,0,0,0,0,37,65,54,21,8,7,4,1,0,0,0,0,0,2,197,ID,,
Staphylococcus epidermidis,0,0,0,0,0,0,67,445,850,1808,2577,2055,760,151,1,1,0,0,0,12,8715,16, 8-32,
Staphylococcus epidermidis MSSE,0,0,0,0,0,0,0,11,17,22,11,17,4,2,0,0,0,0,0,2,84,-, 8-32,
Staphylococcus haemolyticus,0,0,0,0,0,0,11,33,64,231,346,294,170,62,2,1,0,0,0,9,1214,32, 8-64,
Staphylococcus hominis,0,0,0,0,0,0,68,137,59,55,33,29,13,5,0,0,0,0,0,1,399,ID,,
Staphylococcus lugdunensis,0,0,0,0,0,0,7,39,16,1,2,1,1,1,0,0,0,0,0,1,68,ID,,
Staphylococcus saprophyticus,0,0,0,0,0,0,6,12,30,74,68,14,5,4,0,0,0,0,0,3,213,-8,0.125 - 128,
Staphylococcus simulans,0,0,0,0,0,0,8,20,17,10,12,10,5,3,0,0,0,0,0,1,85,ID,,
Staphylococcus warneri,0,0,0,0,0,0,5,33,31,25,27,24,19,6,0,0,0,0,0,2,170,ID,,
Streptococcus agalactiae,0,0,0,0,13,49,133,184,45,0,0,0,0,0,0,0,0,0,0,8,424,0.5,0.125 - 0.5,
Streptococcus anginosus,0,0,0,0,0,5,20,19,0,0,0,0,0,0,0,0,0,0,0,2,44,ID,,
Streptococcus group G,0,0,0,0,0,17,127,44,0,0,0,0,0,0,0,0,0,0,0,4,188,-0.25,0.125 - 0.5,
Streptococcus oralis,0,0,0,0,23,84,77,10,2,0,0,0,0,0,0,0,0,0,0,4,196,-0.5,0.125 - 1,
Streptococcus pneumoniae,0,0,0,11,8041,12508,1239,40,3,0,0,0,0,0,0,0,0,0,0,10,21842,0.25,0.06 - 0.25,
Streptococcus pyogenes,0,0,0,18,42,47,159,46,1,0,0,0,0,0,0,0,0,0,0,5,313,ID,0.016 - 0.5,
