Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterococcus faecalis,0,0,0,11,38,491,1171,35,1,4,7,23,0,0,0,0,0,0,0,3,1781,-,,
Enterococcus faecium,0,0,0,285,215,54,12,19,85,205,123,31,0,0,0,0,0,0,0,3,1029,-,,
Staphylococcus aureus,0,0,0,349,6996,6448,120,5,0,0,0,0,0,0,0,0,0,0,0,4,13918,-,,
Staphylococcus aureus MRSA,0,0,0,105,2638,2976,95,4,0,0,0,0,0,0,0,0,0,0,0,4,5818,-,,
Staphylococcus aureus MSSA,0,0,0,245,4358,3472,25,1,0,0,0,0,0,0,0,0,0,0,0,4,8101,-,,
Staphylococcus epidermidis,0,0,0,44,223,578,8,1,0,0,0,0,0,0,0,0,0,0,0,3,854,-,,
Staphylococcus epidermidis MRSE,0,0,0,20,159,438,5,1,0,0,0,0,0,0,0,0,0,0,0,3,623,-,,
Staphylococcus haemolyticus,0,0,0,9,47,111,6,0,0,0,0,0,0,0,0,0,0,0,0,2,173,-,,
Streptococcus agalactiae,0,0,0,64,355,303,59,1,0,0,0,0,0,0,0,0,0,0,0,3,782,-,,
Streptococcus anginosus,0,0,0,29,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,-,,
Streptococcus constellatus,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,-,,
Streptococcus dysgalactiae,0,0,0,39,48,20,3,0,0,0,0,0,0,0,0,0,0,0,0,3,110,-,,
Streptococcus group G,0,0,0,106,69,39,1,0,0,0,0,0,0,0,0,0,0,0,0,2,215,-,,
Streptococcus intermedius,0,0,0,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,-,,
Streptococcus mitis,0,0,0,53,64,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,136,-,,
Streptococcus oralis,0,0,0,27,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,-,,
Streptococcus pneumoniae,0,0,9,4119,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4199,-,,
Streptococcus pyogenes,0,0,0,602,230,120,2,0,0,0,0,0,0,0,0,0,0,0,0,3,954,-,,
