Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterococcus faecalis,0,0,0,1,2,7,93,440,756,274,46,31,74,21,3,0,0,0,0,12,1748,2,0.5 - 4,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,1,20,ID,,
Enterococcus faecium,0,0,0,1,30,150,302,142,36,9,34,12,1,0,0,0,0,0,0,9,717,0.5,0.25 - 2,
Staphylococcus aureus,0,0,0,3,2,45,1209,3667,1342,170,40,7,1,1,0,0,0,0,0,13,6487,1,0.25 - 1,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,ID,,
Staphylococcus aureus MRSA,0,0,0,0,0,20,381,1913,835,107,3,7,1,1,0,0,0,0,0,15,3268,1,0.25 - 1,
Staphylococcus aureus MSSA,0,0,0,3,2,33,877,2278,699,56,0,0,0,0,0,0,0,0,0,14,3948,1,0.25 - 1,
Staphylococcus epidermidis,0,0,0,0,0,3,83,453,219,37,7,0,0,0,0,0,0,0,0,8,802,1,0.25 - 1,
Staphylococcus epidermidis MSSE,0,0,0,0,2,6,35,38,3,0,0,0,0,0,0,0,0,0,0,2,84,-,0.25 - 1,
Staphylococcus haemolyticus,0,0,0,0,0,0,7,25,32,1,1,0,0,0,0,0,0,0,0,3,66,-1,0.25 - 1,
Streptococcus agalactiae,0,0,1,0,52,340,60,1,0,0,0,0,0,0,0,0,0,0,0,7,454,0.125,0.06 - 0.25,
Streptococcus group G,0,0,0,0,58,64,3,2,0,0,0,0,0,0,0,0,0,0,0,4,127,-0.125,0.03 - 0.25,
Streptococcus intermedius,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,-,,
Streptococcus oralis,0,0,8,31,37,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2,98,ID,,
Streptococcus pneumoniae,0,0,37,102,72,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,216,ID,,
Streptococcus pyogenes,0,0,10,43,312,179,46,1,0,0,0,0,0,0,0,0,0,0,0,11,591,0.125,0.03 - 0.25,
