Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Campylobacter coli,0,0,0,7,0,13,227,1359,779,2239,2884,882,224,640,0,0,0,0,0,23,9254,ID,,
Campylobacter jejuni,0,0,0,19,14,27,317,3450,10017,6775,2093,246,101,163,0,0,0,0,0,27,23222,4, 1-4,
Campylobacter upsaliensis,0,0,0,0,0,0,0,0,3,10,9,3,0,0,0,0,0,0,0,1,25,ID,,
Enterococcus faecalis,0,2,8,9,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35,ID,,
Haemophilus influenzae,0,0,0,1,5,4,16,54,279,1846,2662,486,38,14,2,5,0,0,0,6,5412,8, 2-8,
Listeria monocytogenes,0,0,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,ID,,
Moraxella catarrhalis,0,1,2,17,33,13,9,0,1,0,0,0,0,0,0,0,0,0,0,2,76,ID,,
Neisseria gonorrhoeae,1,0,3,1,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,43,ID,,
Neisseria meningitidis,0,0,0,0,11,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,31,ID,,
Peptostreptococcus spp,2,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,-,,
Staphylococcus aureus MRSA,0,0,0,0,0,3,6,8,25,3,0,0,0,0,0,0,0,5,0,1,50,ID,,
Staphylococcus aureus MSSA,0,0,0,1,23,15,5,5,0,0,0,0,0,0,1,0,0,0,0,1,50,ID,,
Staphylococcus saprophyticus,0,0,0,3,4,17,4,2,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Streptococcus agalactiae,0,1,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,-,0.001 - 0.5,
Streptococcus milleri,0,0,3,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Streptococcus pneumoniae,6,105,1004,3068,1451,469,238,198,178,64,30,6,4,1,1,0,0,0,0,9,6823,0.06,0.016 - 0.06,
Streptococcus pyogenes,7,6,112,1250,684,119,11,21,47,15,13,16,35,20,5,5,0,0,0,6,2366,0.03,0.008 - 0.06,
