Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Burkholderia cepacia complex,0,0,0,0,0,0,0,0,0,3,12,27,37,31,17,3,6,1,0,2,137,-,,
Citrobacter freundii,0,0,0,0,0,0,0,0,0,9,51,24,25,2,0,0,0,0,0,2,111,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,2,10,126,81,48,50,15,1,0,0,0,4,333,-,,
Escherichia coli,0,0,0,0,0,0,2,1,18,156,532,1524,1840,873,358,146,142,79,31,36,5702,16,,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,0,17,110,127,30,1,0,0,0,3,285,-,,
Escherichia coli ATCC 35218,0,0,0,0,0,0,0,0,0,0,45,131,33,1,0,0,0,0,0,1,210,-,,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,1,0,0,0,1,36,-,,
Haemophilus influenzae,0,0,0,0,0,0,0,52,134,14,0,0,0,0,0,0,0,0,0,3,200,-1,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,0,10,37,79,84,44,3,0,0,0,4,257,-32,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,7,14,21,6,1,0,0,0,0,0,2,49,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,3,61,193,117,52,27,22,35,23,71,1,7,605,8,,
Morganella morganii,0,0,0,0,0,0,0,1,4,28,70,55,11,0,0,0,0,1,0,5,170,8,,
Neisseria gonorrhoeae,0,0,6,24,28,34,62,72,96,238,296,52,2,0,0,0,0,0,0,6,910,-,,
Proteus mirabilis,0,0,0,0,0,0,0,1,9,118,136,48,2,2,0,0,0,0,0,7,316,4,,
Proteus vulgaris,0,0,0,0,0,0,0,0,8,78,19,1,0,0,0,0,0,0,0,3,106,-2,,
Serratia marcescens,0,0,0,0,0,0,0,0,0,0,0,10,99,147,57,9,6,4,0,4,332,-64,,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,1,15,-,,
