Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,194,157,315,670,878,659,478,355,2319,0,2,6025,-,,
Bacteroides fragilis,0,0,0,0,0,36,197,145,91,45,33,30,19,14,5,3,5,8,8,1,639,-,,
Bacteroides fragilis group,0,0,0,0,0,49,275,216,190,116,106,105,59,56,12,7,13,11,11,1,1226,-,,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,11,17,38,21,29,33,8,12,2,0,1,0,0,1,172,-,,
Citrobacter koseri,0,0,0,0,0,0,0,0,0,105,504,176,49,143,20,9,6,7,0,2,1019,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,631,2096,1860,617,1444,459,655,1077,2011,0,3,10850,-,,
Escherichia coli,0,0,0,0,0,0,0,0,1,4476,10103,8719,5597,15019,3600,4607,2706,1991,0,3,56819,-16,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,279,873,519,138,331,160,354,489,298,0,2,3441,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,495,1263,902,239,700,117,154,141,321,0,3,4332,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,1061,5158,5453,1887,3391,899,1024,1303,1675,0,3,21851,-,,
Peptostreptococcus spp,0,0,0,0,0,16,60,7,13,28,3,3,3,4,1,0,0,0,0,1,138,-,,
Prevotella spp,0,0,0,0,0,9,105,21,15,5,20,5,3,5,0,0,0,0,0,1,188,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,1,1,2,545,138,260,955,5251,10981,4742,4496,5206,12,4,32590,-16,,
Pseudomonas fluorescens group,0,0,0,0,0,0,0,0,0,3,1,4,4,12,16,11,21,69,0,1,141,-,,
Salmonella enterica,0,0,0,0,0,0,0,0,0,37,177,58,15,12,10,16,17,28,0,1,370,-,,
Salmonella Enteritidis,0,0,0,0,0,0,0,0,0,11,149,46,10,308,11,10,3,7,0,1,555,-,,
Salmonella Group B,0,0,0,0,0,0,0,0,0,4,60,20,2,50,8,5,11,25,0,1,185,-,,
Salmonella Group C,0,0,0,0,0,0,0,0,0,3,28,6,2,17,3,1,4,0,0,1,64,-,,
Salmonella Group D,0,0,0,0,0,0,0,0,0,6,61,34,5,125,13,4,5,11,0,1,264,-,,
Salmonella Paratyphi,0,0,0,0,0,0,0,0,0,1,6,3,13,43,1,2,0,0,0,1,69,-,,
Salmonella Typhimurium,0,0,0,0,0,0,0,0,0,8,23,10,2,42,10,9,16,68,0,1,188,-,,
Serratia marcescens,0,0,0,0,0,0,0,0,0,107,522,1884,998,1083,347,332,296,523,0,3,6092,-,,
Shigella flexneri,0,0,0,0,0,0,0,0,0,34,26,4,24,163,164,36,5,3,0,2,459,-,,
Shigella sonnei,0,0,0,0,0,0,0,0,0,70,160,26,48,277,99,20,3,0,0,2,703,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,245,208,358,500,883,753,436,345,292,0,3,4020,-,,
