Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,7,31,76,270,569,422,202,108,1369,0,1,3054,-,,
Acinetobacter lwoffii,0,0,0,0,0,0,0,0,0,30,39,55,44,78,30,19,4,48,0,1,347,-,,
Bacteroides fragilis,0,0,0,0,0,0,1,4,0,5,6,6,29,138,139,43,43,25,63,1,502,-,,
Bacteroides fragilis group,0,0,0,0,0,0,8,8,4,8,11,19,64,308,313,170,139,77,146,1,1275,-,,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,0,1,1,1,0,0,3,14,40,33,20,8,21,1,142,-,,
Citrobacter freundii,0,0,0,0,0,0,0,0,0,77,203,96,32,167,13,36,89,258,0,1,971,-,,
Citrobacter koseri,0,0,0,0,0,0,0,0,0,0,1,4,0,4,14,262,183,56,0,1,524,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,183,905,1036,277,1115,120,189,430,1503,0,1,5758,-,,
Escherichia coli,0,0,0,0,0,0,0,0,0,988,3771,4618,1328,5328,232,154,192,15414,0,1,32025,-,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,70,381,261,76,283,59,163,157,335,0,1,1785,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,1,10,14,11,64,238,521,659,817,0,1,2335,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,21,55,72,38,216,675,1493,3413,6033,0,1,12016,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,1,1,2,247,71,119,386,3761,5303,1917,2106,2806,30,3,16750,-,,
Pseudomonas fluorescens group,0,0,0,0,0,0,0,0,0,4,1,4,3,17,8,11,26,67,0,1,141,-,,
Salmonella enterica,0,0,0,0,0,0,0,0,0,98,275,270,35,638,7,4,5,316,0,1,1648,-,,
Salmonella Enteritidis,0,0,0,0,0,0,0,0,0,4,88,112,9,279,2,1,2,58,0,1,555,-,,
Salmonella Paratyphi,0,0,0,0,0,0,0,0,0,0,6,5,9,44,1,0,0,4,0,1,69,-,,
Salmonella Typhi,0,0,0,0,0,0,0,0,0,82,69,20,5,101,0,0,0,46,0,1,323,-,,
Salmonella Typhimurium,0,0,0,0,0,0,0,0,0,6,16,19,0,34,0,1,0,112,0,1,188,-,,
Serratia marcescens,0,0,0,0,0,0,0,0,0,22,227,998,355,706,149,76,52,595,0,1,3180,-,,
Shigella flexneri,0,0,0,0,0,0,0,0,0,7,17,5,2,18,0,1,40,229,0,1,319,-,,
Shigella sonnei,0,0,0,0,0,0,0,0,0,4,84,35,5,68,0,3,0,227,0,1,426,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,43,63,86,113,186,401,678,947,1435,2,3,3954,-,,
