Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,119,59,223,2143,5086,5297,6730,7246,3144,902,156,5,2,2,0,0,0,12,31114,0.5,,
Acinetobacter junii,0,0,2,2,8,21,58,34,7,3,0,0,0,0,0,0,0,0,0,4,135,-0.5,,
Acinetobacter lwoffii,0,0,26,59,296,648,844,529,267,108,43,20,4,0,0,0,0,0,0,17,2844,0.5,,
Acinetobacter pittii,0,0,0,3,28,263,449,243,67,26,15,3,1,0,0,0,0,0,0,3,1098,-0.5,,
Bacteroides fragilis,0,0,0,0,0,7,21,98,201,290,259,57,49,41,7,0,1,0,0,5,1031,-,,
Citrobacter freundii,0,0,0,0,9,62,1136,1973,615,188,78,17,0,1,1,0,0,0,0,18,4080,1,,
Citrobacter koseri,0,0,0,2,10,198,2254,1036,221,29,8,0,2,0,0,0,0,0,0,15,3760,0.5,,
Enterobacter asburiae,0,0,0,2,1,7,39,528,898,190,61,12,0,0,0,0,0,0,0,16,1738,2,,
Enterobacter cloacae,0,0,28,26,45,166,1424,12950,31093,9602,4105,2187,650,27,12,5,0,0,0,35,62320,2,,
Enterococcus faecalis,0,0,0,1,104,501,275,137,6,0,0,0,0,0,0,0,0,0,0,8,1024,0.25,,
Enterococcus faecium,0,0,0,25,737,2376,2265,699,3,3,0,0,0,0,0,0,0,0,0,10,6108,0.25,,
Escherichia coli,0,0,190,170,725,17910,46735,30621,9804,2725,825,40,6,13,2,1,0,0,0,34,109767,0.5,,
Haemophilus influenzae,0,0,0,0,1,6,99,629,287,65,3,0,0,0,0,0,0,0,0,4,1090,-1,,
Hafnia alvei,0,0,0,0,0,1,19,12,2,0,0,0,0,0,0,0,0,0,0,1,34,-,,
Klebsiella aerogenes,0,0,4,10,12,74,1022,7418,7642,2162,996,552,105,5,1,0,0,0,0,31,20003,1,,
Klebsiella oxytoca,0,0,29,7,18,99,2201,9878,4188,1526,687,191,24,1,1,0,0,0,0,28,18850,1,,
Klebsiella pneumoniae,0,0,90,39,59,300,3130,21790,31110,13484,6081,2872,465,23,7,4,0,0,4,37,79458,2,,
Moraxella catarrhalis,0,0,0,1,59,682,592,52,0,0,0,0,0,0,0,0,0,0,0,5,1386,0.25,,
Morganella morganii,0,0,0,0,0,3,67,425,725,372,124,57,4,0,0,0,0,0,6,10,1783,4,,
Pantoea agglomerans,0,0,0,1,3,41,61,98,129,40,36,11,7,2,1,0,0,0,0,9,430,-,,
Proteus mirabilis,0,0,0,0,0,0,16,180,417,1237,1586,892,171,3,0,0,0,0,9,18,4511,8,,
Proteus vulgaris,0,0,0,0,0,0,9,88,302,394,121,10,2,0,0,0,0,0,0,10,926,4,,
Providencia rettgeri,0,0,0,0,0,1,1,12,65,130,65,62,5,2,0,0,0,0,0,3,343,-4,,
Providencia stuartii,0,0,0,0,2,1,3,45,150,272,195,89,9,0,0,0,0,0,1,9,767,8,,
Pseudomonas aeruginosa,0,0,0,0,0,0,0,1,5,7,13,47,136,290,116,27,5,3,0,6,650,64,,
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,0,0,0,52,8,0,0,0,0,0,0,2,60,-,,
Serratia liquefaciens,0,0,0,2,0,12,157,343,173,105,38,12,2,0,0,0,0,0,0,17,844,1,,
Serratia marcescens,0,0,44,23,19,31,240,1433,9691,15845,5403,1055,183,10,5,1,0,0,3,27,33986,4,,
Shigella sonnei,0,0,0,0,0,0,8,26,34,3,0,0,0,0,0,0,0,0,0,1,71,-,,
Staphylococcus aureus,0,0,0,0,5,1132,2292,1024,44,6,7,0,0,0,0,0,0,0,0,14,4510,0.5,,
Staphylococcus aureus MRSA,0,0,0,0,0,268,1164,916,67,5,6,0,0,0,0,0,0,0,0,4,2426,-0.5,,
Staphylococcus aureus MSSA,0,0,0,0,0,1,172,261,8,1,2,0,0,0,0,0,0,0,0,3,445,-0.5,,
Staphylococcus epidermidis,0,0,0,0,0,15,105,65,59,6,1,0,0,0,0,0,0,0,0,8,251,1,,
Staphylococcus epidermidis MSSE,0,0,0,0,1,2,13,19,10,0,0,0,0,0,0,0,0,0,0,1,45,-,,
Staphylococcus haemolyticus,0,0,0,1,0,6,23,48,46,5,2,0,0,0,0,0,0,0,0,5,131,1,,
Stenotrophomonas maltophilia,0,0,0,0,0,2,17,68,62,46,23,6,0,1,0,0,0,0,0,4,225,-4,,
Streptococcus pneumoniae,0,2,23,66,402,1495,164,4,1,0,0,0,0,0,0,0,0,0,0,5,2157,0.125,,
Streptococcus pyogenes,0,0,0,0,1,67,14,2,0,0,0,0,0,0,0,0,0,0,0,1,84,-,,
"Streptococcus, viridans group",0,0,7,13,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35,-,,
