Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter anitratus,0,0,0,0,0,0,0,5,44,56,35,13,11,15,0,0,0,0,0,1,179,ID,,
Acinetobacter baumannii,0,0,0,1,0,3,20,194,915,1044,535,256,226,270,54,64,25,67,13,15,3687,4, 1-8,
Acinetobacter calcoaceticus,0,0,0,0,0,0,0,8,45,58,29,15,18,17,2,1,0,0,0,2,193,ID,,
Acinetobacter lwoffii,0,0,0,0,0,0,60,93,87,44,18,13,12,19,1,2,2,4,0,2,355,ID,,
Aeromonas hydrophila,0,0,0,0,0,0,0,1,5,21,16,9,3,0,0,0,0,0,0,1,55,-,,
Alcaligenes faecalis,0,0,0,0,0,0,0,0,0,1,20,1,1,0,0,0,0,0,0,1,23,ID,,
Bacillus cereus,0,0,0,0,0,0,3,21,42,30,13,1,0,0,0,0,0,0,0,1,110,ID,,
Burkholderia cepacia complex,0,0,0,0,0,0,1,0,1,0,6,2,2,11,4,4,6,3,0,2,40,ID,,
Campylobacter jejuni,0,0,0,0,0,0,2,6,13,2,1,0,0,0,0,0,0,0,0,1,24,-,,
Citrobacter braakii,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,1,0,1,12,ID,,
Citrobacter freundii,0,0,0,0,0,1,11,103,860,641,186,53,68,81,25,9,2,1,36,6,2077,2,0.5 - 4,
Citrobacter koseri,0,0,0,0,0,2,4,164,257,100,23,2,2,3,2,0,0,0,0,3,559,-2,0.5 - 8,
Enterobacter amnigenus,0,0,0,0,0,0,0,2,10,5,1,0,1,0,0,0,0,0,0,1,19,ID,,
Enterobacter cloacae,0,0,0,0,0,9,38,549,4270,2360,395,93,121,241,56,28,4,2,63,6,8229,2,0.5 - 4,
Enterobacter sakazakii,0,0,0,0,0,0,0,5,20,19,4,1,1,0,0,0,0,0,0,1,50,ID,,
Enterococcus faecalis,0,0,0,0,0,0,0,1,1,1,1,2,65,239,25,9,0,6,0,2,350,ID,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,2,2,2,9,16,16,20,9,0,2,76,ID,,
Escherichia coli,0,0,0,2,7,14,103,1107,9173,12724,4422,922,472,363,262,141,14,9,70,37,29805,4, 1-4,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,42,39,6,0,0,0,0,0,0,0,0,1,87,-,,
Haemophilus influenzae,0,0,0,0,0,0,0,2,27,167,674,949,36,0,0,0,0,0,0,2,1855,ID,,
Klebsiella aerogenes,0,0,0,0,0,0,10,130,1056,738,171,19,56,114,5,3,0,2,53,6,2357,2, 1-4,
Klebsiella oxytoca,0,0,0,1,0,3,28,555,1971,1264,256,63,58,60,13,8,4,0,85,13,4369,2, 1-4,
Klebsiella pneumoniae,0,0,0,1,2,13,113,2190,7489,3207,636,193,318,615,147,58,17,6,94,23,15099,2,0.5 - 2,
Morganella morganii,0,0,0,0,0,1,17,174,411,296,84,27,11,4,4,4,0,0,100,5,1133,4, 1-4,
Plesiomonas shigelloides,0,0,0,0,0,0,0,0,0,0,16,45,0,0,0,0,0,0,0,1,61,ID,,
Proteus mirabilis,0,0,1,1,0,6,3,334,2017,2563,1133,422,195,144,22,5,0,6,125,9,6977,4, 1-4,
Proteus vulgaris,0,0,0,1,0,0,9,112,348,299,83,13,10,6,1,1,0,0,133,5,1016,4, 1-4,
Pseudomonas aeruginosa,0,0,0,3,5,12,387,2712,10547,7139,2054,535,345,448,364,224,73,35,116,42,24999,2, 1-4,
Pseudomonas putida group,0,0,0,0,0,0,32,41,15,1,2,1,2,4,5,0,0,0,0,1,103,ID,,
Serratia liquefaciens,0,0,0,0,0,0,0,17,28,65,41,16,2,4,4,0,0,0,144,2,321,ID,,
Serratia marcescens,0,0,0,0,0,0,0,28,122,425,416,111,40,16,10,3,0,0,161,5,1332,8, 4-16,
Staphylococcus aureus,0,0,0,2,8,26,118,441,617,316,59,53,15,25,19,24,13,3,0,26,1739,2,0.5 - 2,
Streptococcus agalactiae,0,0,2,0,0,4,3,0,0,1,8,4,13,105,68,21,5,1,0,3,235,-128,8 - 1024,
Yersinia enterocolitica,0,0,0,0,0,0,22,34,91,4,0,0,0,0,0,0,0,0,0,1,151,ID,,
