Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,3,132,330,238,75,29,24,17,28,56,68,54,13,0,0,5,1067,0.5,0.25 - 4,
Acinetobacter pittii,0,0,0,0,0,0,11,21,4,0,0,0,0,1,1,0,0,0,0,1,38,ID,,
Actinobacillus pleuropneumoniae,0,0,1,16,36,80,24,3,1,3,2,0,0,0,0,0,0,0,0,5,166,0.125,0.03 - 0.5,
Bordetella bronchiseptica,0,0,0,5,12,5,0,0,0,0,1,14,12,1,0,0,0,0,0,1,50,ID,,
Burkholderia cepacia complex,0,0,0,0,0,0,0,4,4,2,5,2,0,0,0,0,0,0,0,1,17,ID,,
Burkholderia pseudomallei,0,0,0,0,0,2,8,31,125,126,40,5,6,8,1,0,0,0,0,7,352,4, 1-8,
Campylobacter coli,0,0,0,0,0,1,1,63,148,122,36,13,14,193,200,17,0,0,0,6,808,4, 1-8,
Campylobacter jejuni,0,0,0,0,0,0,1,1,8,57,104,163,94,49,17,12,0,0,0,7,506,16, 2-64,
Citrobacter freundii,0,0,0,0,1,31,20,7,1,1,0,0,0,19,0,7,0,0,0,2,87,ID,,
Citrobacter koseri,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,1,0,0,0,1,16,ID,,
Corynebacterium glucuronolyticum,0,0,0,0,0,0,0,2,8,1,7,1,0,0,0,0,0,0,0,1,19,ID,,
Corynebacterium striatum,0,0,0,0,0,0,0,0,0,3,0,0,8,1,2,2,0,0,0,1,16,ID,,
Enterobacter cloacae,0,0,0,0,4,542,1128,626,170,42,28,19,5,115,63,31,0,0,0,4,2773,-0.5,0.125 - 2,
Enterococcus cecorum,0,0,0,0,0,0,0,0,7,18,27,0,0,1,0,0,0,0,0,1,53,ID,,
Enterococcus faecium,0,0,0,0,0,100,171,110,43,36,13,1,8,140,0,0,0,0,0,1,622,ID,,
Escherichia coli,0,0,4,41,506,2324,1564,649,373,116,32,12,3,2,1224,602,19,0,0,9,7471,0.5,0.125 - 1,
Haemophilus influenzae,0,0,15,119,5597,7196,2715,1446,305,189,415,1547,1400,387,93,0,0,0,0,6,21424,0.5,0.125 - 1,
Klebsiella aerogenes,0,0,0,0,0,54,162,68,32,7,3,4,2,18,52,0,0,0,0,1,402,ID,,
Klebsiella oxytoca,0,0,0,0,5,99,76,26,8,2,2,0,0,6,0,14,0,0,0,3,238,-0.5,0.03 - 4,
Klebsiella pneumoniae,0,0,1,2,22,904,1811,992,248,149,79,54,19,404,109,93,21,0,0,9,4908,0.5,0.25 - 1,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,22,34,0,0,0,0,0,0,0,0,0,2,56,ID,,
Klebsiella variicola,0,0,0,0,0,0,8,12,2,0,0,0,0,0,0,0,0,0,0,1,22,ID,,
Kocuria kristinae,0,0,0,0,0,6,5,60,34,10,5,51,0,0,0,0,0,0,0,2,171,-,,
Legionella pneumophila,0,0,0,0,0,0,8,40,46,6,0,0,0,0,0,0,0,0,0,1,100,ID,,
Listeria monocytogenes,2,0,68,52,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,129,ID,,
Mannheimia haemolytica,0,0,3,82,154,37,10,9,8,7,2,6,13,8,0,0,0,0,0,8,339,0.06,0.016 - 0.125,
Moraxella catarrhalis,0,0,0,0,17,414,1858,1719,379,53,48,12,0,1,1,0,0,0,0,3,4502,-1,0.25 - 2,
Morganella morganii,0,0,0,0,0,45,306,431,39,18,5,11,5,123,100,11,3,8,0,6,1105,0.5,0.25 - 1,
Neisseria gonorrhoeae,0,0,0,1,0,0,2,2,17,24,30,49,27,8,7,0,0,0,0,1,167,ID,,
Neisseria meningitidis,0,0,0,0,57,67,7,2,25,35,80,22,5,0,0,0,0,0,0,2,300,ID,,
Nocardia abscessus,0,0,0,11,5,2,0,0,1,31,1,0,0,0,0,0,0,0,0,2,51,ID,,
Pasteurella multocida,0,0,4,36,156,105,72,26,35,29,3,2,0,8,0,0,0,0,0,11,476,0.125,0.03 - 0.5,
Proteus mirabilis,0,0,0,0,1,361,1062,419,102,120,88,85,26,831,124,56,41,22,0,5,3338,0.5,0.125 - 1,
Proteus vulgaris,0,0,0,0,0,127,234,94,18,5,5,9,4,40,132,2,0,0,0,2,670,ID,,
Pseudomonas aeruginosa,0,0,0,0,2,4,3,1,5,15,40,124,142,66,21,106,0,0,0,4,529,-32, 8-64,
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,0,0,0,0,20,74,8,0,0,0,0,2,102,ID,,
Pseudomonas fluorescens group,0,0,0,0,0,0,0,0,6,6,4,4,0,0,0,0,0,0,0,1,20,ID,,
Rothia aeria,0,0,0,0,0,0,0,19,6,6,1,8,0,0,0,0,0,0,0,1,40,-,,
Rothia dentocariosa,0,0,0,0,0,0,0,56,14,2,2,4,0,0,0,0,0,0,0,1,78,-,,
Rothia mucilaginosa,0,0,0,0,0,85,29,214,93,73,91,263,0,0,0,0,0,0,0,2,848,-,,
Rothia spp,0,0,0,0,0,94,33,272,102,83,93,281,0,0,0,0,0,0,0,1,958,-,,
Salmonella enterica,0,0,0,0,4,14,110,332,290,77,25,13,12,10,51,5,0,0,0,2,943,ID,,
Serratia liquefaciens,0,0,0,0,0,10,34,63,41,8,3,6,1,8,143,2,0,0,0,2,319,ID,,
Serratia marcescens,0,0,0,0,0,33,94,376,516,82,34,37,15,57,161,1,0,0,0,6,1406,2,0.5 - 4,
Staphylococcus aureus,0,0,0,1,86,1588,920,289,118,101,91,11,20,5,2,0,0,0,0,3,3232,-0.25,0.03 - 1,
Staphylococcus epidermidis,0,0,0,0,0,145,338,202,42,13,45,140,283,202,0,0,0,0,0,1,1410,ID,,
Staphylococcus hyicus,0,0,0,0,0,16,67,7,4,9,2,0,0,0,0,0,0,0,0,4,105,-0.25,0.06 - 0.5,
Stenotrophomonas maltophilia,0,0,0,2,6,131,273,458,467,293,146,73,37,57,155,6,0,0,0,9,2104,2,0.25 - 4,
Streptococcus agalactiae,0,0,0,4,18,57,75,9,2,0,1,1,0,0,0,0,0,0,0,6,167,0.5,0.125 - 0.5,
