Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,2,1,8,26,60,61,0,0,0,0,0,1,158,ID,,
Citrobacter freundii,0,0,0,0,0,0,17,27,14,3,1,1,0,10,0,0,0,0,0,1,73,ID,,
Enterobacter agglomerans,0,0,0,0,0,44,108,21,5,4,0,0,0,0,0,0,0,0,0,1,182,ID,,
Enterobacter cloacae,0,0,0,0,0,2,16,311,661,324,78,40,28,103,0,0,0,0,69,3,1632,-2,0.5 - 16,
Enterobacter dissolvens,0,0,0,0,0,0,1,23,32,23,1,1,0,0,0,0,0,0,5,1,86,ID,,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,1,16,2,0,0,0,0,0,0,0,0,0,0,1,19,ID,,
Escherichia coli,0,0,0,0,0,85,292,1012,1956,866,146,53,21,214,471,0,2,6,205,14,5329,2, 1-4,
Haemophilus influenzae,3,3,13,35,309,1362,2851,2140,280,78,22,24,41,170,354,418,239,17,16,9,8375,0.5,0.5 - 1,
Hafnia alvei,0,0,0,0,0,0,0,2,9,11,22,9,1,1,1,0,0,0,0,1,56,ID,,
Klebsiella aerogenes,0,0,0,0,0,0,3,72,130,42,32,14,4,23,0,0,0,0,54,2,374,ID,,
Klebsiella oxytoca,0,0,0,0,0,2,15,75,87,25,3,1,0,17,0,0,0,1,1,2,227,ID,,
Klebsiella pneumoniae,0,0,0,0,0,4,20,601,845,223,92,43,42,265,0,0,0,0,107,3,2242,-2,0.5 - 8,
Listeria monocytogenes,0,0,0,0,3,34,67,2,0,0,0,0,0,0,0,0,0,0,0,1,106,ID,,
Moraxella catarrhalis,0,0,0,0,0,0,0,0,0,9,12,128,587,1001,225,121,34,2,4,5,2123,64,32 - 64,
Morganella morganii,0,0,0,0,0,0,0,0,6,31,113,149,12,58,0,0,0,0,101,1,470,ID,,
Pasteurella multocida,0,0,0,0,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,22,ID,,
Proteus mirabilis,0,0,0,0,0,0,3,24,110,476,408,198,38,646,0,0,0,0,126,3,2029,-8,1 - 128,
Proteus vulgaris,0,0,0,0,0,0,0,9,35,115,129,85,43,59,0,0,0,0,134,3,609,-8,2 - 256,
Salmonella enterica,0,0,0,0,0,0,5,406,1147,389,127,104,144,1,15,97,107,0,0,3,2542,-2,0.125 - 8,
Serratia marcescens,0,0,0,0,0,0,1,9,44,77,111,170,129,80,0,0,0,0,162,3,783,ID,,
Staphylococcus aureus,0,0,0,0,0,0,5,41,487,818,230,32,10,32,11,9,15,7,0,5,1697,2,0.5 - 2,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,41,20,2,0,0,0,0,0,0,0,1,63,ID,,
Staphylococcus aureus MRSA,0,0,0,0,0,0,1,90,116,25,6,3,13,6,7,2,7,10,0,3,286,-2,0.5 - 2,
Staphylococcus aureus MSSA,0,0,0,0,0,0,0,50,316,61,6,0,0,3,1,0,0,8,0,3,445,-2,0.5 - 2,
Staphylococcus capitis,0,0,0,0,0,0,0,0,3,21,1,0,0,0,3,0,0,0,0,1,28,ID,,
Staphylococcus epidermidis,0,0,0,0,0,0,0,23,61,7,1,0,0,52,12,3,15,68,0,3,242,-2,0.25 - 4,
Staphylococcus epidermidis MSSE,0,0,0,0,0,0,1,10,30,17,5,4,1,1,1,3,3,8,0,2,84,-,0.25 - 4,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,20,25,17,5,1,0,31,0,0,0,1,99,ID,,
Staphylococcus lugdunensis,0,0,0,0,0,0,0,0,0,0,0,1,20,19,0,0,0,0,0,1,40,ID,,
Streptococcus agalactiae,0,0,0,0,0,0,5,69,42,8,2,0,0,0,0,0,0,0,0,2,126,ID,,
Streptococcus anginosus,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,14,0,1,18,ID,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,5,147,502,2336,1156,76,30,340,0,0,0,6,4592,16, 8-32,
Streptococcus pyogenes,0,1,4,36,132,386,324,68,7,0,1,0,0,0,3,0,0,0,0,2,962,ID,,
Yersinia enterocolitica,0,0,0,0,0,1,4,15,28,68,32,2,0,0,0,0,0,0,0,1,150,ID,,
