Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aerococcus urinae,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Bacillus cereus,0,0,0,0,0,0,0,0,7,89,14,0,0,0,0,0,0,0,0,1,110,ID,,
Bifidobacterium adolescentis,0,0,0,0,0,0,0,2,32,11,0,0,0,0,0,0,0,0,0,1,45,ID,,
Bifidobacterium animalis,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,1,17,ID,,
Bifidobacterium bifidum,0,0,0,0,0,0,0,0,4,14,7,0,0,0,0,0,0,0,0,1,25,ID,,
Bifidobacterium longum,0,0,0,0,0,0,0,4,60,14,1,0,0,0,0,0,0,0,0,1,79,ID,,
Bifidobacterium pseudolongum,0,0,0,0,0,0,0,2,79,1,0,0,0,0,0,0,0,0,0,1,82,ID,,
Bifidobacterium thermophilum,0,0,0,0,0,0,0,3,76,1,0,0,0,0,0,0,0,0,0,1,80,ID,,
Clostridioides difficile,0,0,0,2,4,2,38,463,4514,4293,456,51,9,2,1,0,0,0,0,13,9835,2, 1-2,
Cutibacterium acnes,0,0,0,0,0,0,0,13,158,131,1,0,0,0,0,0,0,0,0,1,303,ID,,
Enterococcus faecalis,0,0,0,0,0,0,1,21,443,6453,6403,1127,31,11,152,4,22,34,8,34,14710,4, 2-8,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,0,17,37,0,0,0,0,0,0,0,2,54,ID,,
Enterococcus faecium,0,0,0,0,0,0,1,52,1158,2712,442,72,36,21,1228,19,8,110,3,18,5862,4, 1-4,
Kocuria kristinae,0,0,0,0,0,0,0,9,78,53,29,2,0,0,0,0,0,0,0,2,171,-,,
Lactobacillus amylovorus,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,1,31,ID,,
Lactobacillus delbrueckii,0,0,0,0,0,0,0,2,11,28,2,0,0,0,0,0,0,0,0,1,43,ID,,
Lactobacillus helveticus,0,0,0,0,0,0,0,3,15,3,0,0,0,0,0,0,0,0,0,1,21,ID,,
Lactobacillus johnsonii,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,1,23,ID,,
Lactobacillus lactis,0,0,0,0,0,0,5,47,14,1,3,0,0,0,0,0,0,0,0,1,70,ID,,
Lactococcus lactis,0,0,0,0,0,0,5,47,14,1,3,0,0,0,0,0,0,0,0,1,70,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,1,41,317,26,0,0,0,0,0,0,0,0,4,385,-2,0.5 - 2,
Nocardia abscessus,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,1,32,ID,,
Nocardia cyriacigeorgica,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,1,29,ID,,
Nocardia nova,0,0,0,0,0,0,0,0,1,3,2,7,47,0,0,0,0,0,0,1,60,ID,,
Rothia aeria,0,0,0,0,0,0,0,0,7,7,22,1,2,1,0,0,0,0,0,1,40,-,,
Rothia dentocariosa,0,0,0,0,0,0,0,0,25,131,85,0,0,0,0,0,0,0,0,2,241,-,,
Rothia mucilaginosa,0,0,0,0,0,37,8,23,141,571,66,0,1,1,0,0,0,0,0,2,848,-,,
Rothia spp,0,0,0,0,0,41,9,23,154,620,102,1,3,2,0,0,0,0,0,1,955,-,,
Staphylococcus aureus,0,0,0,0,0,1,69,532,13667,68537,8597,223,6,0,1,1,1,0,0,37,91635,2, 1-2,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,130,2,0,0,0,0,0,0,0,0,3,132,ID,,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,0,107,2158,331,1,0,0,0,0,0,0,0,5,2597,2, 1-2,
Staphylococcus aureus MSSA,0,0,0,0,0,0,0,0,27,938,149,0,0,0,0,0,0,0,0,2,1114,ID,,
Staphylococcus auricularis,0,0,0,0,0,0,0,1,4,26,17,1,1,0,0,0,0,0,0,1,50,ID,,
Staphylococcus capitis,0,0,0,0,0,0,0,9,101,371,95,4,1,0,0,0,0,0,0,5,581,4, 1-4,
Staphylococcus epidermidis,0,0,0,0,0,0,3,27,402,5431,9033,361,4,1,0,0,0,0,0,16,15262,4, 2-4,
Staphylococcus epidermidis MSSE,0,0,0,0,0,0,0,0,0,28,53,3,0,0,0,0,0,0,0,2,84,-, 2-4,
Staphylococcus haemolyticus,0,0,0,0,0,0,0,11,190,1071,845,60,0,1,0,0,0,0,0,12,2178,4, 2-4,
Staphylococcus hominis,0,0,0,0,0,0,0,10,151,749,245,8,0,0,0,0,0,0,0,5,1163,4, 1-4,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,13,42,0,0,0,0,0,0,0,0,1,55,ID,,
Staphylococcus intermedius,0,0,0,0,0,0,1,0,10,13,6,0,0,0,0,0,0,0,0,1,30,ID,,
Staphylococcus lugdunensis,0,0,0,0,0,0,0,2,21,106,11,0,0,0,0,0,0,0,0,3,140,ID,,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,45,262,98,5,0,0,0,0,0,0,0,5,410,4, 1-4,
Staphylococcus simulans,0,0,0,0,0,0,0,0,9,53,24,0,0,0,0,0,0,0,0,1,86,ID,,
Staphylococcus warneri,0,0,0,0,0,0,0,1,45,176,91,4,1,0,0,0,0,0,0,4,318,-4, 1-8,
Staphylococcus xylosus,0,0,0,0,0,0,0,0,1,14,9,0,0,0,0,0,0,0,0,1,24,ID,,
Streptococcus agalactiae,0,0,0,1,0,0,2,271,2503,205,5,1,0,0,0,0,0,0,0,10,2988,1,0.25 - 1,
Streptococcus anginosus,0,0,0,0,0,0,2,3,51,74,0,0,0,0,0,0,0,0,0,3,130,ID,0.25 - 4,
Streptococcus bovis,0,0,0,0,0,0,0,108,181,12,1,0,0,0,0,0,0,0,0,2,302,ID,,
Streptococcus constellatus,0,0,0,0,0,0,2,2,43,61,0,0,0,0,0,0,0,0,0,2,108,ID,,
Streptococcus group G,0,0,0,0,0,0,4,192,74,4,0,0,0,0,0,0,0,0,0,2,274,ID,,
Streptococcus intermedius,0,0,0,0,0,0,0,3,32,30,0,0,0,0,0,0,0,0,0,1,65,ID,,
Streptococcus milleri,0,0,0,0,0,0,1,4,50,53,0,0,0,0,0,0,0,0,0,1,108,ID,,
Streptococcus mitis,0,0,0,0,0,0,1,42,418,55,0,0,0,0,0,0,0,0,0,2,516,ID,,
Streptococcus mutans,0,0,0,0,0,0,0,4,13,16,0,0,0,0,0,0,0,0,0,1,33,ID,,
Streptococcus oralis,0,0,0,0,0,0,0,6,116,59,0,0,0,0,0,0,0,0,0,2,181,ID,,
Streptococcus pneumoniae,0,0,0,0,4,93,394,20132,29145,768,115,4,0,0,0,0,0,0,0,17,50655,1,0.5 - 1,
Streptococcus pneumoniae ATCC 49619,0,0,0,0,0,0,3,37,1,0,0,0,0,0,0,0,0,0,0,2,41,ID,,
Streptococcus pyogenes,0,0,0,0,0,3,38,3455,7129,49,0,0,0,0,0,0,0,0,0,13,10674,1,0.25 - 1,
Streptococcus salivarius,0,0,0,0,0,0,1,6,58,29,1,0,0,0,0,0,0,0,0,1,95,ID,,
Streptococcus sanguinis,0,0,0,0,0,0,1,6,113,25,0,0,0,0,0,0,0,0,0,1,145,ID,,
Streptococcus uberis,0,0,0,0,0,0,0,7,89,1,0,0,0,0,0,0,0,0,0,1,97,ID,,
