Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aspergillus flavus EUCAST,0,0,0,0,2,4,8,25,46,149,42,4,1,2,0,0,0,0,0,1,283,-,,
Aspergillus fumigatus EUCAST,0,0,0,0,3,9,85,405,906,288,67,54,44,30,54,0,0,0,0,1,1945,-,,
Aspergillus nidulans EUCAST,0,0,0,3,2,5,18,42,24,6,1,0,1,5,0,0,0,0,0,1,107,-,,
Aspergillus niger EUCAST,0,0,0,1,1,2,4,13,68,84,35,1,0,1,0,0,0,0,0,1,210,-,,
Aspergillus sydowii EUCAST,0,0,0,0,1,1,4,11,17,21,0,0,0,0,0,0,0,0,0,1,55,-,,
Aspergillus terreus EUCAST,0,0,0,0,1,2,2,18,52,154,67,9,1,0,0,0,0,0,0,1,306,-,,
Aspergillus versicolor EUCAST,0,0,0,0,0,0,2,6,7,7,3,0,1,1,0,0,0,0,0,1,27,-,,
Candida albicans EUCAST,50,996,5139,5235,1107,530,207,106,63,42,18,13,18,22,78,6,0,0,0,1,13630,-,,
Candida auris EUCAST,0,0,2,0,2,1,17,12,35,37,13,5,0,0,0,0,0,0,2,1,126,-,,
Candida dubliniensis EUCAST,0,0,0,59,38,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,101,-,,
Candida glabrata EUCAST,0,5,26,115,258,745,1519,1454,855,384,227,196,95,20,2,6,0,0,0,1,5907,-,,
Candida guilliermondii EUCAST,0,0,0,5,11,53,26,16,6,5,3,0,0,0,0,0,0,0,0,1,125,-,,
Candida kefyr EUCAST,0,0,5,23,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,-,,
Candida krusei EUCAST,0,0,0,3,3,7,43,179,149,33,6,3,0,1,0,0,0,0,0,1,427,-,,
Candida lusitaniae EUCAST,0,0,10,56,14,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,91,-,,
Candida parapsilosis EUCAST,0,6,287,1326,510,197,123,77,23,16,3,2,1,0,0,0,0,0,0,1,2571,-,,
Candida tropicalis EUCAST,0,28,133,602,934,732,274,113,51,32,8,2,10,20,16,3,0,0,0,1,2958,-,,
Cryptococcus gattii EUC,0,0,0,1,1,7,11,11,19,8,0,0,0,0,0,0,0,0,0,1,58,-,,
Cryptococcus neoformans EUCAST,0,0,0,34,44,126,127,101,33,9,3,1,0,1,0,0,0,0,0,1,479,-,,
Saccharomyces cerevisiae EUCAST,0,0,0,3,2,12,15,17,8,1,1,0,0,0,0,0,0,0,0,1,59,-,,
