"Bacteria_Antibiotic","ECOFF","distributions","observations","resistance_freq","best_model","unimodalBIC","bimodalBIC","prob_best","peaks","prop_overlap","diptest","diptest_pval","foldingtest","foldingtest_pval","criticalbandwidth","criticalbandwidth_pval","excessmass","excessmass_pval"
"Acinetobacter baumannii_Amikacin",8,8,2194,0.189152233363719,"Bimodal",9122.51672261403,8534.39074973981,1.95014838807705e-128,"1 Peak",0.381126390645224,0.00704243408325328,0.726344403278553,1.30986291810035,0.0001220703125,0.8309326171875,0,0.0140848681665066,0.008
"Citrobacter freundii_Amikacin",8,6,1244,0.0401929260450161,"Bimodal",3831.94857625284,3497.20030034943,2.04331571083851e-73,"1 Peak",0.501460231911464,0.00821657850321816,0.893468988193303,1.73376233428488,0.0001220703125,0.501411437988281,0.456,0.0164331570064363,0.104
"Enterobacter cloacae_Amikacin",8,15,6675,0.0470411985018727,"Bimodal",21745.8079837581,20141.9591321052,0,"2 Peaks",0.244423414692176,0.00337981161749262,0.942636559085785,1.8894864205761,0.0001220703125,0.925102233886719,0.184,0.00675955003028776,0.05
"Escherichia coli_Amikacin",8,21,28531,0.0118117135747082,"Bimodal",78091.691833926,73726.3776923227,0,"1 Peak",0.648077044870718,0.00175656194337638,0.886141201995119,2.05127937555726,0.0001220703125,1.21745300292969,0.07,0.00351312405003069,0.008
"Klebsiella aerogenes_Amikacin",8,14,2398,0.110508757297748,"Bimodal",8628.62358720973,7906.69572961269,1.71932333157752e-157,"1 Peak",0.424742878979956,0.00559195549919944,0.944203861507452,1.34906324437659,0.0001220703125,1.29419708251953,0.172,0.0111839109983989,0.144
"Klebsiella oxytoca_Amikacin",8,17,3224,0.026985111662531,"Bimodal",9650.14165150199,8866.3660293162,6.38684118607633e-171,"1 Peak",0.572909910554526,0.00556967428623396,0.795935631023051,1.91235181692419,0.0001220703125,0.747543334960938,0.316,0.0111393437720708,0.034
"Klebsiella pneumoniae_Amikacin",8,15,12010,0.0703580349708576,"Bimodal",42402.4390677321,35208.9168125036,0,"1 Peak",0.352470340656684,0.0049147219592658,0.0547344732472729,1.44318813999821,0.0001220703125,1.26749420166016,0,0.00982944293946681,0
"Proteus mirabilis_Amikacin",16,10,4425,0.0153672316384181,"Bimodal",14150.26015981,13682.9208047248,3.30026227564615e-102,"1 Peak",0.707897675307779,0.00435929662722947,0.902939309936345,1.93767948805763,0.0001220703125,0.82733154296875,0.174,0.00871858475235901,0.052
"Proteus vulgaris_Amikacin",8,6,338,0.0236686390532544,"Bimodal",1161.64616176194,1112.01955376237,1.67385947537752e-11,"2 Peaks",0.0135919735080825,0.0170765420540209,0.764492421859184,1.92279630804643,0.0001220703125,0.901847839355469,0.26,0.0341530841080417,0.158
"Pseudomonas aeruginosa_Amikacin",16,12,17029,0.0145046685066651,"Bimodal",54575.2789223538,53727.7359944251,9.0863949969399e-185,"1 Peak",0.761847478229763,0.00163953081030096,0.994186095649862,1.69192847984795,0.0001220703125,0.459274291992188,0.042,0.00327906434565671,0.294
"Serratia marcescens_Amikacin",8,6,580,0.0586206896551724,"Bimodal",1893.54204406931,1677.51008663919,1.2281643492425e-47,"1 Peak",0.503220342371221,0.0153572748321076,0.493202706747373,1.72130118537319,0.0001220703125,0.525688171386719,0.806,0.0307145496642152,0.01
"Staphylococcus aureus_Amikacin",16,18,6446,0.0235805150480918,"Bimodal",20783.365257727,20168.1980870352,2.61906429664622e-134,"1 Peak",0.689253513366479,0.0035815235808352,0.91122088547764,1.84849656351204,0.0001220703125,1.17717742919922,0.37,0.00716304544060148,0.044
"Burkholderia pseudomallei_Amoxicillin-clavulanic acid (fi",8,7,352,0.125,"Bimodal",1431.77029457295,1064.98104003404,2.25281415458663e-80,"2 Peaks",0.000686575504990221,0.0326462962265775,0.00943069877841241,0.715831098991683,0.0001220703125,1.45401763916016,0,0.0652925924531551,0
"Campylobacter coli_Amoxicillin",16,6,800,0.1275,"Bimodal",3317.03829690519,3018.60009971641,1.56663882751939e-65,"2 Peaks",0.0191091733925673,0.0352751059905509,0,1.47102757560433,0.0001220703125,1.05866241455078,0,0.0705502119811019,0
"Campylobacter jejuni_Amoxicillin",16,5,401,0.27930174563591,"Bimodal",1603.44437160471,1507.86370118793,1.75760439821745e-21,"2 Peaks",0.0957602563703025,0.0415960627835533,3.9891498957223e-05,1.26334257049329,0.0001220703125,0.944755554199219,0.018,0.0831921255671066,0
"Escherichia coli_Amoxicillin",8,19,4650,0.362795698924731,"Bimodal",22100.66384106,18343.6912082003,0,"2 Peaks",0.0105920564872467,0.0699980022289273,0,0.508192272225554,0.0001220703125,1.65716552734375,0,0.139996004457855,0
"Haemophilus influenzae_Amoxicillin",2,17,28538,0.148433667390847,"Bimodal",125376.111877716,102463.771616424,0,"2 Peaks",0.0358580263254397,0.0223150433704696,0,0.823717709788836,0.0001220703125,1.48805236816406,0.002,0.0446300867329779,0
"Mannheimia haemolytica_Amoxicillin",0.5,10,356,0.230337078651685,"Bimodal",1789.92023759921,1425.38583746872,6.95601932230902e-80,"2 Peaks",0.00376768511661865,0.0470665629524929,8.91245533496399e-06,0.487620349045313,0.0001220703125,1.97763824462891,0,0.0941331259049859,0
"Pasteurella multocida_Amoxicillin",0.5,11,428,0.0607476635514019,"Bimodal",1693.50436319273,1483.78777353142,2.88815949720283e-46,"1 Peak",0.471072372736897,0.0172314909547516,0.552038744037564,2.2571706632393,0.0001220703125,1.53215789794922,0.158,0.0344629819095033,0.046
"Salmonella enterica_Amoxicillin",4,6,10149,0.169573356980983,"Bimodal",47640.1856249762,26855.5340445617,0,"2 Peaks",2.25247387213255e-08,0.0566668775182321,0,0.211975359525215,0.0001220703125,2.05838394165039,0,0.113333755025081,0
"Streptococcus pneumoniae_Amoxicillin",0.06,12,8274,0.148779308677786,"Bimodal",36531.7231400902,29894.3641745833,0,"2 Peaks",0.0431796990272096,0.013680273166433,0,0.88407874349321,0.0001220703125,1.47386169433594,0.002,0.0273605461161962,0
"Proteus vulgaris_Ampicillin-sulbactam (ratio)",16,5,990,0.156565656565657,"Bimodal",4750.99264261516,3698.48418727916,2.82288278685592e-229,"2 Peaks",2.28359805485109e-05,0.0492169175761662,0,0.800266785568175,0.0001220703125,1.97008514404297,0,0.0984338351523324,0
"Campylobacter coli_Ampicillin",16,8,1100,0.146363636363636,"Bimodal",4374.20377797488,4185.12627587093,8.75673268117823e-42,"2 Peaks",0.114532490013611,0.0159952123466123,0.0563438504026192,1.54043414117164,0.0001220703125,0.819313049316406,0.002,0.0319904246932247,0
"Campylobacter jejuni_Ampicillin",16,6,444,0.0945945945945946,"Bimodal",1783.27826660768,1760.53695646635,1.15287504947515e-05,"1 Peak",0.396541990604567,0.0118388336178148,0.977409992303082,1.63410654735979,0.0001220703125,0.673233032226562,0.28,0.0236776672356297,0.406
"Enterococcus faecalis_Ampicillin",4,26,13643,0.0151726159935498,"Bimodal",36730.4487397199,35301.2953201186,4.60551325950594e-311,"1 Peak",0.762267745593172,0.0026891774269185,0.814181077648384,1.82659809530735,0.0001220703125,0.554061889648438,0.422,0.00537836310152235,0.008
"Enterococcus faecium_Ampicillin",8,20,6164,0.632543802725503,"Bimodal",27983.0936993282,23140.9184111535,0,"2 Peaks",0.0273609046192444,0.0396754562594223,0,0.627818258240315,0.0001220703125,1.38450622558594,0,0.0793509124880796,0
"Escherichia coli_Ampicillin",8,53,105483,0.350900145047069,"Bimodal",478288.679165176,413942.948814052,0,"2 Peaks",0.0379237314043905,0.0547665393092489,0,0.676371820398141,0.0001220703125,1.29788208007812,0,NA,NA
"Haemophilus influenzae_Ampicillin",1,21,31647,0.219420482194205,"Bimodal",141279.435113351,124097.591300233,0,"2 Peaks",0.270426766476649,0.0235166398963429,0,1.06282389315224,0.0001220703125,1.07352447509766,0,0.047033279950303,0
"Mannheimia haemolytica_Ampicillin",0.5,8,338,0.142011834319527,"Bimodal",1579.66328403981,1219.26813956929,5.5104710595686e-79,"2 Peaks",0.0100353978941322,0.0329340572816294,0.0108387092804514,0.636449351336252,0.0001220703125,1.64801788330078,0.018,0.0658681145632588,0
"Moraxella catarrhalis_Ampicillin",0.03,6,2772,0.896464646464647,"Bimodal",15192.1170090294,14491.9182706632,8.99033440304909e-153,"2 Peaks",0.259906645929334,0.0108804517709095,0.0299971947134731,1.12077743628471,0.0001220703125,1.32251739501953,0.008,0.0217609035418189,0
"Pasteurella multocida_Ampicillin",0.5,12,446,0.0336322869955157,"Bimodal",1375.55083772971,1071.10302486724,7.76242510857594e-67,"1 Peak",0.414533133865513,0.0154210563559889,0.715953301271026,1.83742868287327,0.0001220703125,1.72750854492188,0.396,0.0308421127119777,0.1
"Proteus mirabilis_Ampicillin",8,7,4530,0.293156732891832,"Bimodal",20538.6295443531,16085.7228777465,0,"2 Peaks",0.00390167574087194,0.0842763649031654,0,0.445989508610878,0.0001220703125,1.57987213134766,0,0.168552729806331,0
"Salmonella enterica_Ampicillin",4,7,5193,0.0860774119006355,"Bimodal",18933.7190643221,13846.0342810058,0,"2 Peaks",0.00170184900226136,0.0225155508646897,0,0.911950870621876,0.0001220703125,1.22393035888672,0,0.0450311046524007,0
"Streptococcus pneumoniae_Ampicillin",0.06,5,809,0.122373300370828,"Bimodal",3521.1439514555,2793.98950625675,1.2601390773023e-158,"2 Peaks",0.172987469638201,0.0107424138475286,0.824211022211375,0.937460216902008,0.100767559150698,1.31061553955078,0.05,0.0214848276950573,0.074
