"strain","freq","mic","n","dose","run"
"b1",19245903611236.5,1,2,0,1
"b2",1854685.9247424,10,2,0,1
"b1",19245903611236.5,1,2,0,2
"b2",1854685.9247424,10,2,0,2
"b1",19245903611236.5,1,2,0,3
"b2",1854685.9247424,10,2,0,3
"b1",19245903611236.5,1,2,0,4
"b2",1854685.9247424,10,2,0,4
"b1",19245903611236.5,1,2,0,5
"b2",1854685.9247424,10,2,0,5
"b1",19245903611236.5,1,2,0,6
"b2",1854685.9247424,10,2,0,6
"b1",19245903611236.5,1,2,0,7
"b2",1854685.9247424,10,2,0,7
"b1",19245903611236.5,1,2,0,8
"b2",1854685.9247424,10,2,0,8
"b1",19245903611236.5,1,2,0,9
"b2",1854685.9247424,10,2,0,9
"b1",19245903611236.5,1,2,0,10
"b2",1854685.9247424,10,2,0,10
"b1",15009241609727.7,1,2,1,1
"b2",3732831606064.8,10,2,1,1
"b1",15009241609727.7,1,2,1,2
"b2",3732831606064.8,10,2,1,2
"b1",15009241609727.7,1,2,1,3
"b2",3732831606064.8,10,2,1,3
"b1",15009241609727.7,1,2,1,4
"b2",3732831606064.8,10,2,1,4
"b1",15009241609727.7,1,2,1,5
"b2",3732831606064.8,10,2,1,5
"b1",14777156364559.4,1,2,1,6
"b2",3970418030183.76,10,2,1,6
"b1",14777156364559.4,1,2,1,7
"b2",3970418030183.76,10,2,1,7
"b1",14777156364559.4,1,2,1,8
"b2",3970418030183.76,10,2,1,8
"b1",14777156364559.4,1,2,1,9
"b2",3970418030183.76,10,2,1,9
"b1",14777156364559.4,1,2,1,10
"b2",3970418030183.76,10,2,1,10
"b1",7197959509600.49,1,2,2,1
"b2",11486378148439,10,2,2,1
"b1",7197959509600.49,1,2,2,2
"b2",11486378148439,10,2,2,2
"b1",7197959509600.49,1,2,2,3
"b2",11486378148439,10,2,2,3
"b1",7055654467022.31,1,2,2,4
"b2",11635775200938,10,2,2,4
"b1",7055654467022.31,1,2,2,5
"b2",11635775200938,10,2,2,5
"b1",7055654467022.31,1,2,2,6
"b2",11635775200938,10,2,2,6
